methyl_chr	methyl_start	methyl_end	name	chr	med_start3kb	med_end3kb	enhancer	Chr	Coordinate	Strand	Methylation.Status	Methylation.Difference	Meancase	Meancontrol	Region	GeneName
10	134260467	134260467	chr10:132446963	10	134260341	134260546	chr10:134260341-134260546	chr10	132446963	+	hypermethylation	0.37	0.37	0	intron	C10orf91
10	135048924	135048924	chr10:133235420	10	135048867	135049308	chr10:135048867-135049308	chr10	133235420	+	hypermethylation	0.48	0.48	0	TTS10kb	UTF1
10	135048924	135048924	chr10:133235420	10	135048867	135049308	chr10:135048867-135049308	chr10	133235420	+	hypermethylation	0.48	0.48	0	TTS10kb	KNDC1
10	135048966	135048966	chr10:133235462	10	135048867	135049308	chr10:135048867-135049308	chr10	133235462	+	hypermethylation	0.38	0.38	0	TTS10kb	UTF1
10	135048966	135048966	chr10:133235462	10	135048867	135049308	chr10:135048867-135049308	chr10	133235462	+	hypermethylation	0.38	0.38	0	TTS10kb	KNDC1
10	135049021	135049021	chr10:133235517	10	135048867	135049308	chr10:135048867-135049308	chr10	133235517	+	hypermethylation	0.32	0.32	0	TTS10kb	UTF1
10	135049021	135049021	chr10:133235517	10	135048867	135049308	chr10:135048867-135049308	chr10	133235517	+	hypermethylation	0.32	0.32	0	TTS10kb	KNDC1
10	135049131	135049131	chr10:133235627	10	135048867	135049308	chr10:135048867-135049308	chr10	133235627	+	hypermethylation	0.4	0.4	0	TTS10kb	UTF1
10	135049131	135049131	chr10:133235627	10	135048867	135049308	chr10:135048867-135049308	chr10	133235627	+	hypermethylation	0.4	0.4	0	TTS10kb	KNDC1
10	135049142	135049142	chr10:133235638	10	135048867	135049308	chr10:135048867-135049308	chr10	133235638	+	hypermethylation	0.31	0.31	0	TTS10kb	UTF1
10	135049142	135049142	chr10:133235638	10	135048867	135049308	chr10:135048867-135049308	chr10	133235638	+	hypermethylation	0.31	0.31	0	TTS10kb	KNDC1
10	135072814	135072814	chr10:133259310	10	135072735	135073128	chr10:135072735-135073128	chr10	133259310	-	hypermethylation	0.4	0.4	0	TTS10kb	ADAM8
10	135072902	135072902	chr10:133259398	10	135072735	135073128	chr10:135072735-135073128	chr10	133259398	-	hypermethylation	0.42	0.51	0.09	TTS10kb	ADAM8
10	135072959	135072959	chr10:133259455	10	135072735	135073128	chr10:135072735-135073128	chr10	133259455	-	hypermethylation	0.36	0.42	0.06	TTS10kb	ADAM8
10	135072975	135072975	chr10:133259471	10	135072735	135073128	chr10:135072735-135073128	chr10	133259471	-	hypermethylation	0.33	0.33	0	TTS10kb	ADAM8
10	135092557	135092557	chr10:133279053	10	135092436	135092746	chr10:135092436-135092746	chr10	133279053	-	hypomethylation	-0.32	0.18	0.5	genebody	TUBGCP2
10	135092557	135092557	chr10:133279053	10	135092436	135092746	chr10:135092436-135092746	chr10	133279053	-	hypomethylation	-0.32	0.18	0.5	TTS10kb	TUBGCP2
10	135092557	135092557	chr10:133279053	10	135092436	135092746	chr10:135092436-135092746	chr10	133279053	-	hypomethylation	-0.32	0.18	0.5	3'UTR	TUBGCP2
10	135092605	135092605	chr10:133279101	10	135092436	135092746	chr10:135092436-135092746	chr10	133279101	-	hypomethylation	-0.55	0.45	1	genebody	TUBGCP2
10	135092605	135092605	chr10:133279101	10	135092436	135092746	chr10:135092436-135092746	chr10	133279101	-	hypomethylation	-0.55	0.45	1	TTS10kb	TUBGCP2
10	135092605	135092605	chr10:133279101	10	135092436	135092746	chr10:135092436-135092746	chr10	133279101	-	hypomethylation	-0.55	0.45	1	3'UTR	TUBGCP2
10	17281080	17281080	chr10:17239081	10	17280857	17281170	chr10:17280857-17281170	chr10	17239081	+	hypermethylation	0.4	0.73	0.33	TTS10kb	VIM
10	17281083	17281083	chr10:17239084	10	17280857	17281170	chr10:17280857-17281170	chr10	17239084	+	hypermethylation	0.36	0.86	0.5	TTS10kb	VIM
10	179426	179426	chr10:133486	10	179287	179666	chr10:179287-179666	chr10	133486	+	hypomethylation	-0.44	0.42	0.87	TSS1500	ZMYND11
10	179542	179542	chr10:133602	10	179287	179666	chr10:179287-179666	chr10	133602	+	hypomethylation	-0.32	0.18	0.5	TSS1500	ZMYND11
10	20841656	20841656	chr10:20552727	10	20841595	20841995	chr10:20841595-20841995	chr10	20552727	+	hypermethylation	0.35	0.7	0.36	TTS10kb	RP11-51E20.1
10	22623466	22623466	chr10:22334537	10	22623174	22623719	chr10:22623174-22623719	chr10	22334537	+	hypermethylation	0.46	0.68	0.22	TTS10kb	BMI1
10	22623466	22623466	chr10:22334537	10	22623174	22623719	chr10:22623174-22623719	chr10	22334537	+	hypermethylation	0.46	0.68	0.22	TTS10kb	RP11-573G6.9
10	22623466	22623466	chr10:22334537	10	22623174	22623719	chr10:22623174-22623719	chr10	22334537	-	hypermethylation	0.46	0.68	0.22	TTS10kb	RP11-573G6.10
10	22623466	22623466	chr10:22334537	10	22623174	22623719	chr10:22623174-22623719	chr10	22334537	+	hypermethylation	0.46	0.68	0.22	TTS10kb	COMMD3-BMI1
10	22623513	22623513	chr10:22334584	10	22623174	22623719	chr10:22623174-22623719	chr10	22334584	+	hypomethylation	-0.34	0.66	1	TTS10kb	RP11-573G6.9
10	22623513	22623513	chr10:22334584	10	22623174	22623719	chr10:22623174-22623719	chr10	22334584	+	hypomethylation	-0.34	0.66	1	TTS10kb	COMMD3-BMI1
10	22623513	22623513	chr10:22334584	10	22623174	22623719	chr10:22623174-22623719	chr10	22334584	+	hypomethylation	-0.34	0.66	1	TTS10kb	BMI1
10	22623513	22623513	chr10:22334584	10	22623174	22623719	chr10:22623174-22623719	chr10	22334584	-	hypomethylation	-0.34	0.66	1	TTS10kb	RP11-573G6.10
10	22623556	22623556	chr10:22334627	10	22623174	22623719	chr10:22623174-22623719	chr10	22334627	+	hypermethylation	0.38	0.71	0.33	TTS10kb	BMI1
10	22623556	22623556	chr10:22334627	10	22623174	22623719	chr10:22623174-22623719	chr10	22334627	+	hypermethylation	0.38	0.71	0.33	TTS10kb	COMMD3-BMI1
10	22623556	22623556	chr10:22334627	10	22623174	22623719	chr10:22623174-22623719	chr10	22334627	+	hypermethylation	0.38	0.71	0.33	TTS10kb	RP11-573G6.9
10	22623556	22623556	chr10:22334627	10	22623174	22623719	chr10:22623174-22623719	chr10	22334627	-	hypermethylation	0.38	0.71	0.33	TTS10kb	RP11-573G6.10
10	22623562	22623562	chr10:22334633	10	22623174	22623719	chr10:22623174-22623719	chr10	22334633	+	hypermethylation	0.31	0.51	0.2	TTS10kb	COMMD3-BMI1
10	22623562	22623562	chr10:22334633	10	22623174	22623719	chr10:22623174-22623719	chr10	22334633	+	hypermethylation	0.31	0.51	0.2	TTS10kb	RP11-573G6.9
10	22623562	22623562	chr10:22334633	10	22623174	22623719	chr10:22623174-22623719	chr10	22334633	+	hypermethylation	0.31	0.51	0.2	TTS10kb	BMI1
10	22623562	22623562	chr10:22334633	10	22623174	22623719	chr10:22623174-22623719	chr10	22334633	-	hypermethylation	0.31	0.51	0.2	TTS10kb	RP11-573G6.10
10	22623587	22623587	chr10:22334658	10	22623174	22623719	chr10:22623174-22623719	chr10	22334658	+	hypermethylation	0.36	0.47	0.11	TTS10kb	COMMD3-BMI1
10	22623587	22623587	chr10:22334658	10	22623174	22623719	chr10:22623174-22623719	chr10	22334658	+	hypermethylation	0.36	0.47	0.11	TTS10kb	RP11-573G6.9
10	22623587	22623587	chr10:22334658	10	22623174	22623719	chr10:22623174-22623719	chr10	22334658	+	hypermethylation	0.36	0.47	0.11	TTS10kb	BMI1
10	22623587	22623587	chr10:22334658	10	22623174	22623719	chr10:22623174-22623719	chr10	22334658	-	hypermethylation	0.36	0.47	0.11	TTS10kb	RP11-573G6.10
10	22623668	22623668	chr10:22334739	10	22623174	22623719	chr10:22623174-22623719	chr10	22334739	-	hypermethylation	0.44	0.64	0.2	TTS10kb	RP11-573G6.10
10	22623668	22623668	chr10:22334739	10	22623174	22623719	chr10:22623174-22623719	chr10	22334739	+	hypermethylation	0.44	0.64	0.2	TTS10kb	RP11-573G6.9
10	22623668	22623668	chr10:22334739	10	22623174	22623719	chr10:22623174-22623719	chr10	22334739	+	hypermethylation	0.44	0.64	0.2	TTS10kb	COMMD3-BMI1
10	22623668	22623668	chr10:22334739	10	22623174	22623719	chr10:22623174-22623719	chr10	22334739	+	hypermethylation	0.44	0.64	0.2	TTS10kb	BMI1
10	22623670	22623670	chr10:22334741	10	22623174	22623719	chr10:22623174-22623719	chr10	22334741	+	hypermethylation	0.43	0.63	0.2	TTS10kb	COMMD3-BMI1
10	22623670	22623670	chr10:22334741	10	22623174	22623719	chr10:22623174-22623719	chr10	22334741	+	hypermethylation	0.43	0.63	0.2	TTS10kb	BMI1
10	22623670	22623670	chr10:22334741	10	22623174	22623719	chr10:22623174-22623719	chr10	22334741	+	hypermethylation	0.43	0.63	0.2	TTS10kb	RP11-573G6.9
10	22623670	22623670	chr10:22334741	10	22623174	22623719	chr10:22623174-22623719	chr10	22334741	-	hypermethylation	0.43	0.63	0.2	TTS10kb	RP11-573G6.10
10	22623693	22623693	chr10:22334764	10	22623174	22623719	chr10:22623174-22623719	chr10	22334764	-	hypermethylation	0.39	0.51	0.12	TTS10kb	RP11-573G6.10
10	22623693	22623693	chr10:22334764	10	22623174	22623719	chr10:22623174-22623719	chr10	22334764	+	hypermethylation	0.39	0.51	0.12	TTS10kb	RP11-573G6.9
10	22623693	22623693	chr10:22334764	10	22623174	22623719	chr10:22623174-22623719	chr10	22334764	+	hypermethylation	0.39	0.51	0.12	TTS10kb	BMI1
10	22623693	22623693	chr10:22334764	10	22623174	22623719	chr10:22623174-22623719	chr10	22334764	+	hypermethylation	0.39	0.51	0.12	TTS10kb	COMMD3-BMI1
10	22623704	22623704	chr10:22334775	10	22623174	22623719	chr10:22623174-22623719	chr10	22334775	+	hypermethylation	0.36	0.61	0.25	TTS10kb	COMMD3-BMI1
10	22623704	22623704	chr10:22334775	10	22623174	22623719	chr10:22623174-22623719	chr10	22334775	+	hypermethylation	0.36	0.61	0.25	TTS10kb	RP11-573G6.9
10	22623704	22623704	chr10:22334775	10	22623174	22623719	chr10:22623174-22623719	chr10	22334775	-	hypermethylation	0.36	0.61	0.25	TTS10kb	RP11-573G6.10
10	22623704	22623704	chr10:22334775	10	22623174	22623719	chr10:22623174-22623719	chr10	22334775	+	hypermethylation	0.36	0.61	0.25	TTS10kb	BMI1
10	22624349	22624349	chr10:22335420	10	22624164	22624549	chr10:22624164-22624549	chr10	22335420	+	hypermethylation	0.3	0.3	0	TTS10kb	COMMD3-BMI1
10	22624349	22624349	chr10:22335420	10	22624164	22624549	chr10:22624164-22624549	chr10	22335420	+	hypermethylation	0.3	0.3	0	TTS10kb	RP11-573G6.9
10	22624349	22624349	chr10:22335420	10	22624164	22624549	chr10:22624164-22624549	chr10	22335420	+	hypermethylation	0.3	0.3	0	TTS10kb	BMI1
10	22624349	22624349	chr10:22335420	10	22624164	22624549	chr10:22624164-22624549	chr10	22335420	-	hypermethylation	0.3	0.3	0	TTS10kb	RP11-573G6.10
10	22625732	22625732	chr10:22336803	10	22625615	22626028	chr10:22625615-22626028	chr10	22336803	+	hypermethylation	0.4	0.46	0.06	TTS10kb	COMMD3-BMI1
10	22625732	22625732	chr10:22336803	10	22625615	22626028	chr10:22625615-22626028	chr10	22336803	+	hypermethylation	0.4	0.46	0.06	TTS10kb	BMI1
10	22625732	22625732	chr10:22336803	10	22625615	22626028	chr10:22625615-22626028	chr10	22336803	-	hypermethylation	0.4	0.46	0.06	TTS10kb	RP11-573G6.10
10	22625732	22625732	chr10:22336803	10	22625615	22626028	chr10:22625615-22626028	chr10	22336803	+	hypermethylation	0.4	0.46	0.06	TTS10kb	RP11-573G6.9
10	22625738	22625738	chr10:22336809	10	22625615	22626028	chr10:22625615-22626028	chr10	22336809	+	hypermethylation	0.46	0.46	0	TTS10kb	COMMD3-BMI1
10	22625738	22625738	chr10:22336809	10	22625615	22626028	chr10:22625615-22626028	chr10	22336809	+	hypermethylation	0.46	0.46	0	TTS10kb	RP11-573G6.9
10	22625738	22625738	chr10:22336809	10	22625615	22626028	chr10:22625615-22626028	chr10	22336809	-	hypermethylation	0.46	0.46	0	TTS10kb	RP11-573G6.10
10	22625738	22625738	chr10:22336809	10	22625615	22626028	chr10:22625615-22626028	chr10	22336809	+	hypermethylation	0.46	0.46	0	TTS10kb	BMI1
10	22625758	22625758	chr10:22336829	10	22625615	22626028	chr10:22625615-22626028	chr10	22336829	+	hypermethylation	0.37	0.65	0.28	TTS10kb	COMMD3-BMI1
10	22625758	22625758	chr10:22336829	10	22625615	22626028	chr10:22625615-22626028	chr10	22336829	+	hypermethylation	0.37	0.65	0.28	TTS10kb	RP11-573G6.9
10	22625758	22625758	chr10:22336829	10	22625615	22626028	chr10:22625615-22626028	chr10	22336829	-	hypermethylation	0.37	0.65	0.28	TTS10kb	RP11-573G6.10
10	22625758	22625758	chr10:22336829	10	22625615	22626028	chr10:22625615-22626028	chr10	22336829	+	hypermethylation	0.37	0.65	0.28	TTS10kb	BMI1
10	22625773	22625773	chr10:22336844	10	22625615	22626028	chr10:22625615-22626028	chr10	22336844	+	hypermethylation	0.34	0.45	0.11	TTS10kb	RP11-573G6.9
10	22625773	22625773	chr10:22336844	10	22625615	22626028	chr10:22625615-22626028	chr10	22336844	+	hypermethylation	0.34	0.45	0.11	TTS10kb	BMI1
10	22625773	22625773	chr10:22336844	10	22625615	22626028	chr10:22625615-22626028	chr10	22336844	+	hypermethylation	0.34	0.45	0.11	TTS10kb	COMMD3-BMI1
10	22625773	22625773	chr10:22336844	10	22625615	22626028	chr10:22625615-22626028	chr10	22336844	-	hypermethylation	0.34	0.45	0.11	TTS10kb	RP11-573G6.10
10	22625795	22625795	chr10:22336866	10	22625615	22626028	chr10:22625615-22626028	chr10	22336866	+	hypermethylation	0.35	0.58	0.23	TTS10kb	RP11-573G6.9
10	22625795	22625795	chr10:22336866	10	22625615	22626028	chr10:22625615-22626028	chr10	22336866	-	hypermethylation	0.35	0.58	0.23	TTS10kb	RP11-573G6.10
10	22625795	22625795	chr10:22336866	10	22625615	22626028	chr10:22625615-22626028	chr10	22336866	+	hypermethylation	0.35	0.58	0.23	TTS10kb	COMMD3-BMI1
10	22625795	22625795	chr10:22336866	10	22625615	22626028	chr10:22625615-22626028	chr10	22336866	+	hypermethylation	0.35	0.58	0.23	TTS10kb	BMI1
10	22625797	22625797	chr10:22336868	10	22625615	22626028	chr10:22625615-22626028	chr10	22336868	+	hypermethylation	0.43	0.59	0.15	TTS10kb	COMMD3-BMI1
10	22625797	22625797	chr10:22336868	10	22625615	22626028	chr10:22625615-22626028	chr10	22336868	+	hypermethylation	0.43	0.59	0.15	TTS10kb	RP11-573G6.9
10	22625797	22625797	chr10:22336868	10	22625615	22626028	chr10:22625615-22626028	chr10	22336868	-	hypermethylation	0.43	0.59	0.15	TTS10kb	RP11-573G6.10
10	22625797	22625797	chr10:22336868	10	22625615	22626028	chr10:22625615-22626028	chr10	22336868	+	hypermethylation	0.43	0.59	0.15	TTS10kb	BMI1
10	22625833	22625833	chr10:22336904	10	22625615	22626028	chr10:22625615-22626028	chr10	22336904	-	hypermethylation	0.47	0.55	0.07	TTS10kb	RP11-573G6.10
10	22625833	22625833	chr10:22336904	10	22625615	22626028	chr10:22625615-22626028	chr10	22336904	+	hypermethylation	0.47	0.55	0.07	TTS10kb	BMI1
10	22625833	22625833	chr10:22336904	10	22625615	22626028	chr10:22625615-22626028	chr10	22336904	+	hypermethylation	0.47	0.55	0.07	TTS10kb	COMMD3-BMI1
10	22625833	22625833	chr10:22336904	10	22625615	22626028	chr10:22625615-22626028	chr10	22336904	+	hypermethylation	0.47	0.55	0.07	TTS10kb	RP11-573G6.9
10	22625839	22625839	chr10:22336910	10	22625615	22626028	chr10:22625615-22626028	chr10	22336910	+	hypermethylation	0.4	0.47	0.07	TTS10kb	COMMD3-BMI1
10	22625839	22625839	chr10:22336910	10	22625615	22626028	chr10:22625615-22626028	chr10	22336910	+	hypermethylation	0.4	0.47	0.07	TTS10kb	RP11-573G6.9
10	22625839	22625839	chr10:22336910	10	22625615	22626028	chr10:22625615-22626028	chr10	22336910	-	hypermethylation	0.4	0.47	0.07	TTS10kb	RP11-573G6.10
10	22625839	22625839	chr10:22336910	10	22625615	22626028	chr10:22625615-22626028	chr10	22336910	+	hypermethylation	0.4	0.47	0.07	TTS10kb	BMI1
10	22625842	22625842	chr10:22336913	10	22625615	22626028	chr10:22625615-22626028	chr10	22336913	+	hypermethylation	0.46	0.66	0.2	TTS10kb	RP11-573G6.9
10	22625842	22625842	chr10:22336913	10	22625615	22626028	chr10:22625615-22626028	chr10	22336913	+	hypermethylation	0.46	0.66	0.2	TTS10kb	BMI1
10	22625842	22625842	chr10:22336913	10	22625615	22626028	chr10:22625615-22626028	chr10	22336913	-	hypermethylation	0.46	0.66	0.2	TTS10kb	RP11-573G6.10
10	22625842	22625842	chr10:22336913	10	22625615	22626028	chr10:22625615-22626028	chr10	22336913	+	hypermethylation	0.46	0.66	0.2	TTS10kb	COMMD3-BMI1
10	22625871	22625871	chr10:22336942	10	22625615	22626028	chr10:22625615-22626028	chr10	22336942	-	hypermethylation	0.32	0.58	0.27	TTS10kb	RP11-573G6.10
10	22625871	22625871	chr10:22336942	10	22625615	22626028	chr10:22625615-22626028	chr10	22336942	+	hypermethylation	0.32	0.58	0.27	TTS10kb	BMI1
10	22625871	22625871	chr10:22336942	10	22625615	22626028	chr10:22625615-22626028	chr10	22336942	+	hypermethylation	0.32	0.58	0.27	TTS10kb	COMMD3-BMI1
10	22625871	22625871	chr10:22336942	10	22625615	22626028	chr10:22625615-22626028	chr10	22336942	+	hypermethylation	0.32	0.58	0.27	TTS10kb	RP11-573G6.9
10	22625873	22625873	chr10:22336944	10	22625615	22626028	chr10:22625615-22626028	chr10	22336944	+	hypermethylation	0.35	0.54	0.19	TTS10kb	COMMD3-BMI1
10	22625873	22625873	chr10:22336944	10	22625615	22626028	chr10:22625615-22626028	chr10	22336944	-	hypermethylation	0.35	0.54	0.19	TTS10kb	RP11-573G6.10
10	22625873	22625873	chr10:22336944	10	22625615	22626028	chr10:22625615-22626028	chr10	22336944	+	hypermethylation	0.35	0.54	0.19	TTS10kb	RP11-573G6.9
10	22625873	22625873	chr10:22336944	10	22625615	22626028	chr10:22625615-22626028	chr10	22336944	+	hypermethylation	0.35	0.54	0.19	TTS10kb	BMI1
10	22625987	22625987	chr10:22337058	10	22625615	22626028	chr10:22625615-22626028	chr10	22337058	-	hypermethylation	0.41	0.62	0.21	TTS10kb	RP11-573G6.10
10	22625987	22625987	chr10:22337058	10	22625615	22626028	chr10:22625615-22626028	chr10	22337058	+	hypermethylation	0.41	0.62	0.21	TTS10kb	BMI1
10	22625987	22625987	chr10:22337058	10	22625615	22626028	chr10:22625615-22626028	chr10	22337058	+	hypermethylation	0.41	0.62	0.21	TTS10kb	COMMD3-BMI1
10	22625987	22625987	chr10:22337058	10	22625615	22626028	chr10:22625615-22626028	chr10	22337058	+	hypermethylation	0.41	0.62	0.21	TTS10kb	RP11-573G6.9
10	30876911	30876911	chr10:30587982	10	30876225	30877110	chr10:30876225-30877110	chr10	30587982	+	hypermethylation	0.35	0.68	0.33	TTS10kb	RP11-253D19.2
10	31016163	31016163	chr10:30727234	10	31015875	31016223	chr10:31015875-31016223	chr10	30727234	+	hypermethylation	0.44	0.52	0.07	TTS10kb	SVILP1
10	31016163	31016163	chr10:30727234	10	31015875	31016223	chr10:31015875-31016223	chr10	30727234	+	hypermethylation	0.44	0.52	0.07	TTS10kb	RP11-14C22.6
10	31986263	31986263	chr10:31697335	10	31986198	31986456	chr10:31986198-31986456	chr10	31697335	-	hypermethylation	0.44	0.62	0.18	intron	RP11-472N13.3
10	31986372	31986372	chr10:31697444	10	31986198	31986456	chr10:31986198-31986456	chr10	31697444	-	hypermethylation	0.43	0.62	0.19	intron	RP11-472N13.3
10	31986440	31986440	chr10:31697512	10	31986198	31986456	chr10:31986198-31986456	chr10	31697512	-	hypermethylation	0.47	0.69	0.22	intron	RP11-472N13.3
10	31986702	31986702	chr10:31697774	10	31986692	31987073	chr10:31986692-31987073	chr10	31697774	-	hypermethylation	0.51	0.65	0.14	intron	RP11-472N13.3
10	31986708	31986708	chr10:31697780	10	31986692	31987073	chr10:31986692-31987073	chr10	31697780	-	hypermethylation	0.45	0.52	0.08	intron	RP11-472N13.3
10	31986718	31986718	chr10:31697790	10	31986692	31987073	chr10:31986692-31987073	chr10	31697790	-	hypermethylation	0.41	0.59	0.18	intron	RP11-472N13.3
10	31986723	31986723	chr10:31697795	10	31986692	31987073	chr10:31986692-31987073	chr10	31697795	-	hypermethylation	0.45	0.72	0.27	intron	RP11-472N13.3
10	31986784	31986784	chr10:31697856	10	31986692	31987073	chr10:31986692-31987073	chr10	31697856	-	hypermethylation	0.56	0.73	0.17	intron	RP11-472N13.3
10	31986882	31986882	chr10:31697954	10	31986692	31987073	chr10:31986692-31987073	chr10	31697954	-	hypermethylation	0.53	0.73	0.2	intron	RP11-472N13.3
10	31986950	31986950	chr10:31698022	10	31986692	31987073	chr10:31986692-31987073	chr10	31698022	-	hypermethylation	0.32	0.46	0.14	intron	RP11-472N13.3
10	31986986	31986986	chr10:31698058	10	31986692	31987073	chr10:31986692-31987073	chr10	31698058	-	hypermethylation	0.46	0.64	0.18	intron	RP11-472N13.3
10	31987036	31987036	chr10:31698108	10	31986692	31987073	chr10:31986692-31987073	chr10	31698108	-	hypermethylation	0.35	0.68	0.33	intron	RP11-472N13.3
10	33626029	33626029	chr10:33337101	10	33625950	33626342	chr10:33625950-33626342	chr10	33337101	-	hypermethylation	0.33	0.33	0	TSS1500	NRP1
10	33626176	33626176	chr10:33337248	10	33625950	33626342	chr10:33625950-33626342	chr10	33337248	-	hypermethylation	0.42	0.42	0	TSS1500	NRP1
10	33626184	33626184	chr10:33337256	10	33625950	33626342	chr10:33625950-33626342	chr10	33337256	-	hypermethylation	0.54	0.54	0	TSS1500	NRP1
10	33626195	33626195	chr10:33337267	10	33625950	33626342	chr10:33625950-33626342	chr10	33337267	-	hypermethylation	0.47	0.47	0	TSS1500	NRP1
10	33626213	33626213	chr10:33337285	10	33625950	33626342	chr10:33625950-33626342	chr10	33337285	-	hypermethylation	0.62	0.62	0	TSS1500	NRP1
10	3808846	3808846	chr10:3766654	10	3808656	3808872	chr10:3808656-3808872	chr10	3766654	-	hypomethylation	-0.32	0.45	0.76	TTS10kb	KLF6
10	3808846	3808846	chr10:3766654	10	3808656	3808872	chr10:3808656-3808872	chr10	3766654	+	hypomethylation	-0.32	0.45	0.76	TTS10kb	RP11-184A2.3
10	3808846	3808846	chr10:3766654	10	3808656	3808872	chr10:3808656-3808872	chr10	3766654	+	hypomethylation	-0.32	0.45	0.76	TSS1500	RP11-184A2.2
10	4283884	4283884	chr10:4241692	10	4283808	4284356	chr10:4283808-4284356	chr10	4241692	-	hypermethylation	0.36	0.75	0.39	intron	LINC00702
10	4283884	4283884	chr10:4241692	10	4283808	4284356	chr10:4283808-4284356	chr10	4241692	-	hypermethylation	0.36	0.75	0.39	TTS10kb	LINC00702
10	4283925	4283925	chr10:4241733	10	4283808	4284356	chr10:4283808-4284356	chr10	4241733	-	hypermethylation	0.38	0.48	0.1	TTS10kb	LINC00702
10	4283925	4283925	chr10:4241733	10	4283808	4284356	chr10:4283808-4284356	chr10	4241733	-	hypermethylation	0.38	0.48	0.1	intron	LINC00702
10	4283955	4283955	chr10:4241763	10	4283808	4284356	chr10:4283808-4284356	chr10	4241763	-	hypermethylation	0.4	0.65	0.25	TTS10kb	LINC00702
10	4283955	4283955	chr10:4241763	10	4283808	4284356	chr10:4283808-4284356	chr10	4241763	-	hypermethylation	0.4	0.65	0.25	intron	LINC00702
